method,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
projnn,0.134,0.966,0.976,0.96,0.74,0.838,0.162,0.838,0.08,0.04,0.825,0.253,0.314,0.0,0.252,0.339,0.162,0.92,umap,spambase,1,jaccard
truenn,0.087,0.979,0.944,0.975,0.782,0.855,0.145,0.855,0.191,0.024,0.808,0.269,0.366,0.0,0.243,0.379,0.145,0.809,umap,spambase,1,jaccard
rescaled,0.155,0.971,0.993,0.968,0.744,0.893,0.107,0.893,0.014,0.032,0.86,0.842,0.617,,0.132,0.594,0.107,0.986,mds,usps,1,jaccard
magnetic,0.165,0.966,0.976,0.962,0.732,0.973,0.027,0.973,0.043,0.038,0.767,0.854,0.613,0.0,0.132,0.593,0.027,0.957,mds,usps,1,jaccard
magnetic_on_rescale,0.165,0.966,0.976,0.962,0.732,0.974,0.026,0.974,0.043,0.038,0.768,0.854,0.613,0.0,0.132,0.593,0.026,0.957,mds,usps,1,jaccard
delaunay,0.137,0.967,0.988,0.963,0.635,0.924,0.076,0.924,0.023,0.037,0.836,0.829,0.562,0.0,0.126,0.533,0.076,0.977,mds,usps,1,jaccard
projnn,0.136,0.968,0.991,0.965,0.66,0.915,0.085,0.915,0.019,0.035,0.851,0.831,0.573,0.0,0.124,0.548,0.085,0.981,mds,usps,1,jaccard
truenn,0.16,0.981,0.919,0.98,0.721,0.972,0.028,0.972,0.116,0.02,0.723,0.868,0.544,0.0,0.149,0.516,0.028,0.884,mds,usps,1,jaccard
rescaled,0.097,0.716,0.862,0.623,0.498,0.893,0.076,0.893,0.32,0.317,0.669,0.988,-0.179,0.862,0.915,-0.421,0.107,0.657,isomap,spambase,21,jaccard
magnetic,0.079,0.632,0.763,0.542,0.552,0.974,0.015,0.974,0.459,0.435,0.539,0.5,-0.187,0.962,0.456,-0.157,0.026,0.53,isomap,spambase,21,jaccard
magnetic_on_rescale,0.088,0.676,0.775,0.588,0.497,0.939,0.047,0.939,0.421,0.372,0.56,0.908,-0.167,0.933,0.88,-0.255,0.061,0.566,isomap,spambase,21,jaccard
delaunay,0.089,0.65,0.751,0.558,0.496,0.98,0.011,0.98,0.474,0.414,0.538,0.909,-0.17,7.739,0.88,-0.279,0.02,0.526,isomap,spambase,21,jaccard
projnn,0.079,0.789,0.779,0.738,0.596,0.953,0.027,0.953,0.427,0.231,0.57,0.487,-0.041,53.03,0.478,0.028,0.047,0.574,isomap,spambase,21,jaccard
truenn,0.068,0.857,0.794,0.821,0.606,0.947,0.029,0.947,0.404,0.135,0.592,0.559,-0.06,56.761,0.536,-0.004,0.053,0.595,isomap,spambase,21,jaccard
rescaled,0.407,0.794,0.755,0.577,0.103,0.946,0.03,0.946,0.4,0.383,0.591,0.958,-0.151,0.962,0.884,-0.326,0.054,0.59,tsne,reuters,51,jaccard
magnetic,0.406,0.698,0.64,0.507,0.168,0.982,0.009,0.982,0.479,0.459,0.354,0.948,-0.142,0.972,0.803,-0.14,0.018,0.513,tsne,reuters,51,jaccard
magnetic_on_rescale,0.406,0.698,0.64,0.507,0.168,0.982,0.009,0.982,0.479,0.459,0.354,0.948,-0.142,0.972,0.803,-0.14,0.018,0.513,tsne,reuters,51,jaccard
delaunay,0.404,0.69,0.637,0.498,0.186,0.984,0.008,0.984,0.489,0.483,0.351,0.948,-0.147,0.971,0.798,-0.148,0.016,0.512,tsne,reuters,51,jaccard
projnn,0.351,0.758,0.659,0.562,0.376,0.98,0.01,0.98,0.472,0.422,0.405,0.858,-0.039,0.967,0.275,-0.047,0.02,0.528,tsne,reuters,51,jaccard
truenn,0.387,0.876,0.715,0.719,0.498,0.953,0.026,0.953,0.429,0.217,0.524,0.902,-0.096,0.975,0.385,-0.157,0.047,0.568,tsne,reuters,51,jaccard
rescaled,0.099,0.686,0.848,0.575,0.484,0.901,0.067,0.901,0.342,0.346,0.666,1.039,-0.162,0.9,0.941,-0.415,0.099,0.628,isomap,spambase,51,jaccard
magnetic,0.076,0.644,0.787,0.535,0.581,0.958,0.024,0.958,0.443,0.428,0.577,0.564,-0.253,0.985,0.51,-0.242,0.042,0.543,isomap,spambase,51,jaccard
magnetic_on_rescale,0.089,0.665,0.777,0.56,0.485,0.935,0.047,0.935,0.435,0.393,0.573,0.942,-0.154,0.966,0.904,-0.199,0.065,0.554,isomap,spambase,51,jaccard
delaunay,0.091,0.637,0.754,0.53,0.488,0.964,0.021,0.964,0.476,0.442,0.547,0.944,-0.154,3.609,0.903,-0.206,0.036,0.525,isomap,spambase,51,jaccard
projnn,0.08,0.735,0.775,0.653,0.637,0.945,0.035,0.945,0.448,0.307,0.582,0.52,-0.084,3.436,0.514,-0.044,0.055,0.553,isomap,spambase,51,jaccard
truenn,0.071,0.789,0.796,0.718,0.67,0.937,0.037,0.937,0.429,0.205,0.614,0.601,-0.094,18.663,0.584,-0.064,0.063,0.571,isomap,spambase,51,jaccard
rescaled,0.247,0.924,0.977,0.905,0.506,0.778,0.138,0.778,0.033,0.09,0.749,0.892,0.471,0.963,0.172,0.447,0.222,0.964,mds,mnist,7,jaccard
magnetic,0.263,0.921,0.937,0.901,0.499,0.904,0.056,0.904,0.085,0.094,0.619,0.901,0.472,0.969,0.171,0.449,0.096,0.916,mds,mnist,7,jaccard
magnetic_on_rescale,0.263,0.921,0.937,0.901,0.499,0.903,0.056,0.903,0.084,0.094,0.619,0.901,0.472,0.969,0.171,0.449,0.097,0.916,mds,mnist,7,jaccard
delaunay,0.218,0.922,0.964,0.903,0.451,0.821,0.107,0.821,0.049,0.091,0.705,0.89,0.413,0.966,0.155,0.382,0.179,0.948,mds,mnist,7,jaccard
projnn,0.225,0.924,0.972,0.905,0.461,0.812,0.114,0.812,0.039,0.09,0.728,0.893,0.438,0.967,0.153,0.411,0.188,0.957,mds,mnist,7,jaccard
truenn,0.288,0.961,0.822,0.951,0.473,0.939,0.035,0.939,0.212,0.046,0.454,0.922,0.469,0.988,0.173,0.449,0.061,0.789,mds,mnist,7,jaccard
rescaled,0.254,0.943,0.969,0.918,0.569,0.648,0.222,0.648,0.044,0.068,0.742,0.941,0.398,0.966,0.313,0.436,0.352,0.949,umap,usps,51,jaccard
magnetic,0.231,0.616,0.544,0.549,0.158,0.986,0.007,0.986,0.478,0.445,0.118,0.926,0.084,0.992,0.239,0.072,0.014,0.523,umap,usps,51,jaccard
magnetic_on_rescale,0.257,0.907,0.854,0.876,0.509,0.86,0.081,0.86,0.176,0.113,0.488,0.945,0.389,0.982,0.304,0.429,0.14,0.824,umap,usps,51,jaccard
delaunay,0.172,0.932,0.905,0.908,0.597,0.778,0.13,0.778,0.116,0.077,0.599,0.88,0.492,0.984,0.144,0.465,0.222,0.875,umap,usps,51,jaccard
projnn,0.141,0.936,0.943,0.911,0.577,0.703,0.184,0.703,0.062,0.073,0.664,0.848,0.509,0.973,0.137,0.476,0.297,0.922,umap,usps,51,jaccard
truenn,0.174,0.964,0.881,0.943,0.654,0.789,0.125,0.789,0.157,0.04,0.62,0.881,0.441,0.988,0.177,0.414,0.211,0.841,umap,usps,51,jaccard
rescaled,0.377,0.937,0.964,0.867,0.521,0.653,0.222,0.653,0.043,0.101,0.702,0.918,-0.046,0.962,0.514,-0.032,0.347,0.936,umap,mnist,51,jaccard
magnetic,0.362,0.913,0.831,0.839,0.503,0.852,0.085,0.852,0.213,0.133,0.497,0.925,-0.044,0.973,0.505,-0.03,0.148,0.781,umap,mnist,51,jaccard
magnetic_on_rescale,0.362,0.913,0.831,0.839,0.503,0.852,0.085,0.852,0.213,0.133,0.497,0.925,-0.044,0.973,0.505,-0.03,0.148,0.781,umap,mnist,51,jaccard
delaunay,0.33,0.947,0.905,0.882,0.643,0.742,0.156,0.742,0.121,0.09,0.614,0.926,0.059,0.983,0.332,0.087,0.258,0.864,umap,mnist,51,jaccard
projnn,0.302,0.954,0.949,0.894,0.653,0.681,0.199,0.681,0.056,0.08,0.686,0.911,0.137,0.978,0.254,0.132,0.319,0.913,umap,mnist,51,jaccard
truenn,0.339,0.943,0.88,0.884,0.575,0.818,0.106,0.818,0.18,0.083,0.601,0.934,0.101,0.987,0.353,0.132,0.182,0.816,umap,mnist,51,jaccard
rescaled,0.415,0.947,0.983,0.925,0.548,0.793,0.126,0.793,0.029,0.067,0.765,0.973,0.117,0.962,0.429,0.108,0.207,0.969,umap,mnist,7,jaccard
magnetic,0.416,0.887,0.769,0.859,0.464,0.967,0.019,0.967,0.281,0.133,0.4,0.974,0.118,0.968,0.409,0.112,0.033,0.718,umap,mnist,7,jaccard
magnetic_on_rescale,0.416,0.887,0.769,0.859,0.464,0.967,0.019,0.967,0.281,0.132,0.399,0.974,0.118,0.968,0.409,0.112,0.033,0.718,umap,mnist,7,jaccard
delaunay,0.322,0.948,0.906,0.929,0.581,0.923,0.044,0.923,0.134,0.065,0.605,0.941,0.335,0.983,0.167,0.309,0.077,0.864,umap,mnist,7,jaccard
projnn,0.266,0.954,0.977,0.935,0.6,0.821,0.109,0.821,0.036,0.058,0.744,0.924,0.324,0.976,0.168,0.293,0.179,0.959,umap,mnist,7,jaccard
truenn,0.354,0.969,0.873,0.96,0.637,0.938,0.036,0.938,0.186,0.039,0.591,0.948,0.391,0.992,0.181,0.388,0.062,0.814,umap,mnist,7,jaccard
rescaled,0.407,0.837,0.832,0.662,0.071,0.953,0.027,0.953,0.357,0.344,0.696,0.941,-0.022,0.926,0.867,0.325,0.047,0.63,umap,reuters,21,jaccard
magnetic,0.401,0.705,0.644,0.527,0.179,0.987,0.007,0.987,0.478,0.48,0.35,0.934,-0.026,0.957,0.808,0.002,0.013,0.513,umap,reuters,21,jaccard
magnetic_on_rescale,0.401,0.705,0.644,0.527,0.179,0.987,0.007,0.987,0.478,0.48,0.35,0.934,-0.026,0.957,0.808,0.002,0.013,0.513,umap,reuters,21,jaccard
delaunay,0.399,0.694,0.637,0.517,0.174,0.992,0.004,0.992,0.492,0.478,0.338,0.933,-0.028,0.952,0.801,0.013,0.008,0.508,umap,reuters,21,jaccard
projnn,0.355,0.727,0.669,0.561,0.373,0.99,0.006,0.99,0.478,0.422,0.4,0.851,0.016,0.94,0.319,0.059,0.01,0.519,umap,reuters,21,jaccard
truenn,0.394,0.839,0.704,0.722,0.489,0.973,0.015,0.973,0.436,0.241,0.496,0.913,-0.069,0.98,0.498,-0.119,0.027,0.558,umap,reuters,21,jaccard
rescaled,0.116,0.945,0.984,0.924,0.575,0.709,0.182,0.709,0.043,0.056,0.78,0.973,0.435,0.978,0.522,0.48,0.291,0.951,tsne,har,51,jaccard
magnetic,0.094,0.607,0.541,0.528,0.187,0.987,0.006,0.987,0.489,0.464,0.173,0.929,0.087,0.992,0.313,0.062,0.013,0.513,tsne,har,51,jaccard
magnetic_on_rescale,0.115,0.793,0.672,0.746,0.428,0.947,0.03,0.947,0.366,0.243,0.338,0.972,0.402,0.991,0.457,0.356,0.053,0.634,tsne,har,51,jaccard
delaunay,0.089,0.941,0.933,0.919,0.715,0.844,0.088,0.844,0.124,0.068,0.665,0.927,0.535,0.991,0.181,0.501,0.156,0.878,tsne,har,51,jaccard
projnn,0.077,0.957,0.963,0.938,0.742,0.752,0.149,0.752,0.059,0.048,0.739,0.846,0.64,0.985,0.114,0.642,0.248,0.929,tsne,har,51,jaccard
truenn,0.059,0.972,0.971,0.959,0.787,0.733,0.163,0.733,0.065,0.028,0.777,0.867,0.649,0.991,0.112,0.659,0.267,0.931,tsne,har,51,jaccard
rescaled,0.292,0.942,0.913,0.894,0.621,0.865,0.135,0.865,0.234,0.106,0.796,0.794,0.021,0.0,0.243,-0.022,0.135,0.766,isomap,reuters,1,jaccard
magnetic,0.303,0.937,0.86,0.885,0.622,0.92,0.08,0.92,0.313,0.115,0.723,0.81,0.022,0.0,0.24,-0.019,0.08,0.687,isomap,reuters,1,jaccard
magnetic_on_rescale,0.303,0.937,0.861,0.885,0.622,0.92,0.08,0.92,0.313,0.115,0.725,0.81,0.022,0.0,0.24,-0.019,0.08,0.687,isomap,reuters,1,jaccard
delaunay,0.245,0.925,0.888,0.851,0.577,0.95,0.05,0.95,0.275,0.149,0.772,0.77,0.105,0.0,0.188,0.068,0.05,0.724,isomap,reuters,1,jaccard
projnn,0.248,0.929,0.901,0.863,0.587,0.917,0.083,0.917,0.259,0.137,0.785,0.773,0.111,0.0,0.188,0.076,0.083,0.741,isomap,reuters,1,jaccard
truenn,0.336,0.947,0.795,0.909,0.49,0.942,0.058,0.942,0.352,0.091,0.647,0.851,-0.113,0.0,0.343,-0.163,0.058,0.647,isomap,reuters,1,jaccard
rescaled,0.062,0.987,0.996,0.986,0.804,0.908,0.092,0.908,0.017,0.014,0.883,0.839,0.694,0.0,0.113,0.706,0.092,0.983,tsne,har,1,jaccard
magnetic,0.061,0.979,0.985,0.978,0.789,0.978,0.022,0.978,0.043,0.022,0.798,0.852,0.683,0.0,0.116,0.696,0.022,0.957,tsne,har,1,jaccard
magnetic_on_rescale,0.061,0.979,0.985,0.978,0.789,0.977,0.023,0.977,0.044,0.022,0.798,0.852,0.683,0.0,0.116,0.696,0.023,0.956,tsne,har,1,jaccard
delaunay,0.116,0.982,0.99,0.981,0.775,0.94,0.06,0.94,0.025,0.019,0.861,0.817,0.656,0.0,0.108,0.666,0.06,0.975,tsne,har,1,jaccard
projnn,0.108,0.984,0.993,0.982,0.785,0.927,0.073,0.927,0.02,0.018,0.875,0.816,0.662,0.0,0.106,0.674,0.073,0.98,tsne,har,1,jaccard
truenn,0.068,0.988,0.984,0.987,0.818,0.964,0.036,0.964,0.049,0.013,0.833,0.843,0.723,0.0,0.096,0.731,0.036,0.951,tsne,har,1,jaccard
rescaled,0.308,0.97,0.989,0.964,0.658,0.913,0.087,0.913,0.022,0.036,0.809,0.917,0.471,0.0,0.174,0.451,0.087,0.978,tsne,mnist,1,jaccard
magnetic,0.324,0.963,0.952,0.957,0.632,0.984,0.016,0.984,0.076,0.043,0.667,0.924,0.468,0.0,0.175,0.451,0.016,0.924,tsne,mnist,1,jaccard
magnetic_on_rescale,0.324,0.963,0.951,0.957,0.633,0.984,0.016,0.984,0.077,0.043,0.667,0.924,0.468,0.0,0.175,0.451,0.016,0.923,tsne,mnist,1,jaccard
delaunay,0.219,0.965,0.981,0.959,0.576,0.941,0.059,0.941,0.035,0.041,0.787,0.902,0.403,0.0,0.154,0.369,0.059,0.965,tsne,mnist,1,jaccard
projnn,0.22,0.967,0.986,0.961,0.593,0.931,0.069,0.931,0.028,0.039,0.804,0.899,0.402,0.0,0.154,0.368,0.069,0.972,tsne,mnist,1,jaccard
truenn,0.305,0.977,0.898,0.973,0.672,0.987,0.013,0.987,0.153,0.027,0.64,0.926,0.442,0.0,0.17,0.432,0.013,0.847,tsne,mnist,1,jaccard
rescaled,0.261,0.937,0.972,0.906,0.499,0.684,0.199,0.684,0.034,0.082,0.721,0.893,0.327,0.975,0.182,0.306,0.316,0.957,mds,mnist,21,jaccard
magnetic,0.273,0.934,0.953,0.903,0.493,0.8,0.117,0.8,0.066,0.085,0.647,0.903,0.33,0.98,0.181,0.309,0.2,0.93,mds,mnist,21,jaccard
magnetic_on_rescale,0.273,0.934,0.953,0.903,0.493,0.8,0.117,0.8,0.066,0.085,0.647,0.903,0.33,0.98,0.181,0.309,0.2,0.93,mds,mnist,21,jaccard
delaunay,0.223,0.93,0.965,0.9,0.507,0.722,0.17,0.722,0.042,0.088,0.692,0.89,0.344,0.975,0.162,0.312,0.278,0.948,mds,mnist,21,jaccard
projnn,0.23,0.933,0.967,0.903,0.517,0.712,0.178,0.712,0.04,0.084,0.706,0.893,0.355,0.976,0.161,0.327,0.288,0.949,mds,mnist,21,jaccard
truenn,0.306,0.954,0.829,0.929,0.494,0.885,0.065,0.885,0.206,0.056,0.47,0.92,0.344,0.988,0.191,0.33,0.115,0.793,mds,mnist,21,jaccard
rescaled,0.089,0.91,0.955,0.896,0.498,0.844,0.088,0.844,0.074,0.089,0.61,0.876,0.582,0.997,0.275,0.729,0.156,0.92,umap,har,51,jaccard
magnetic,0.119,0.63,0.575,0.557,0.232,0.979,0.011,0.979,0.455,0.435,0.222,0.926,0.057,0.997,0.547,0.066,0.021,0.544,umap,har,51,jaccard
magnetic_on_rescale,0.092,0.898,0.899,0.883,0.498,0.901,0.054,0.901,0.137,0.106,0.466,0.886,0.565,0.997,0.277,0.726,0.099,0.866,umap,har,51,jaccard
delaunay,0.089,0.923,0.93,0.909,0.574,0.851,0.083,0.851,0.111,0.078,0.617,0.866,0.655,0.997,0.164,0.7,0.149,0.89,umap,har,51,jaccard
projnn,0.088,0.938,0.929,0.925,0.641,0.82,0.103,0.82,0.1,0.062,0.639,0.852,0.67,0.996,0.132,0.716,0.18,0.895,umap,har,51,jaccard
truenn,0.058,0.967,0.967,0.956,0.751,0.734,0.163,0.734,0.066,0.031,0.737,0.863,0.75,0.997,0.096,0.767,0.266,0.932,umap,har,51,jaccard
rescaled,0.161,0.945,0.971,0.928,0.612,0.753,0.148,0.753,0.05,0.058,0.752,0.844,0.315,0.986,0.389,0.4,0.247,0.933,mds,har,51,jaccard
magnetic,0.16,0.76,0.723,0.705,0.423,0.956,0.024,0.956,0.321,0.29,0.389,0.869,0.189,0.992,0.446,0.21,0.044,0.677,mds,har,51,jaccard
magnetic_on_rescale,0.142,0.914,0.924,0.894,0.615,0.873,0.071,0.873,0.124,0.097,0.59,0.856,0.317,0.989,0.376,0.405,0.127,0.877,mds,har,51,jaccard
