method,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
magnetic_on_rescale,0.279,0.759,0.673,0.56,0.492,0.984,0.008,0.984,0.467,0.442,0.414,0.837,0.466,0.996,0.55,0.467,0.016,0.528,tsne,reuters,51,trustworthiness
delaunay,0.277,0.76,0.654,0.576,0.489,0.989,0.006,0.989,0.487,0.405,0.381,0.836,0.464,0.996,0.524,0.425,0.011,0.514,tsne,reuters,51,trustworthiness
projnn,0.246,0.758,0.676,0.571,0.413,0.988,0.006,0.988,0.483,0.427,0.411,0.778,0.334,0.99,0.205,0.356,0.012,0.519,tsne,reuters,51,trustworthiness
truenn,0.322,0.851,0.723,0.714,0.557,0.968,0.017,0.968,0.449,0.253,0.528,0.859,0.352,0.994,0.345,0.303,0.032,0.549,tsne,reuters,51,trustworthiness
rescaled,0.265,0.767,0.739,0.611,0.419,0.971,0.019,0.971,0.367,0.385,0.438,0.801,0.233,0.944,0.522,0.411,0.029,0.628,tsne,reuters,7,trustworthiness
magnetic,0.262,0.761,0.666,0.601,0.419,0.979,0.013,0.979,0.457,0.392,0.386,0.808,0.234,0.945,0.488,0.248,0.021,0.531,tsne,reuters,7,trustworthiness
magnetic_on_rescale,0.263,0.761,0.666,0.603,0.419,0.979,0.013,0.979,0.457,0.39,0.385,0.81,0.236,0.946,0.496,0.265,0.021,0.532,tsne,reuters,7,trustworthiness
delaunay,0.262,0.763,0.647,0.588,0.42,0.992,0.006,0.992,0.48,0.413,0.362,0.807,0.237,0.942,0.471,0.242,0.008,0.519,tsne,reuters,7,trustworthiness
projnn,0.24,0.762,0.661,0.616,0.388,0.987,0.009,0.987,0.465,0.369,0.396,0.768,0.241,0.912,0.21,0.244,0.013,0.534,tsne,reuters,7,trustworthiness
truenn,0.344,0.869,0.704,0.777,0.502,0.98,0.012,0.98,0.433,0.213,0.502,0.864,0.068,0.98,0.351,0.065,0.02,0.565,tsne,reuters,7,trustworthiness
rescaled,0.118,0.957,0.99,0.948,0.555,0.729,0.172,0.729,0.033,0.043,0.822,0.98,0.425,0.978,0.607,0.592,0.271,0.966,isomap,har,21,trustworthiness
magnetic,0.105,0.598,0.558,0.547,0.218,0.992,0.005,0.992,0.473,0.445,0.189,0.954,0.186,0.984,0.31,0.104,0.008,0.528,isomap,har,21,trustworthiness
magnetic_on_rescale,0.117,0.721,0.655,0.683,0.37,0.973,0.016,0.973,0.38,0.309,0.293,0.977,0.374,0.984,0.507,0.336,0.027,0.619,isomap,har,21,trustworthiness
delaunay,0.1,0.935,0.925,0.923,0.709,0.925,0.041,0.925,0.136,0.071,0.662,0.937,0.547,0.991,0.189,0.532,0.075,0.864,isomap,har,21,trustworthiness
projnn,0.075,0.959,0.966,0.948,0.73,0.8,0.122,0.8,0.056,0.044,0.761,0.845,0.612,0.985,0.122,0.614,0.2,0.937,isomap,har,21,trustworthiness
truenn,0.055,0.978,0.975,0.971,0.786,0.802,0.12,0.802,0.063,0.022,0.783,0.869,0.685,0.992,0.101,0.689,0.198,0.935,isomap,har,21,trustworthiness
rescaled,0.277,0.739,0.658,0.525,0.486,0.991,0.005,0.991,0.463,0.47,0.388,0.834,0.431,0.992,0.592,0.403,0.009,0.513,umap,reuters,21,trustworthiness
magnetic,0.273,0.734,0.664,0.528,0.486,0.989,0.006,0.989,0.476,0.456,0.4,0.81,0.402,0.991,0.442,0.348,0.011,0.519,umap,reuters,21,trustworthiness
magnetic_on_rescale,0.277,0.741,0.657,0.547,0.486,0.99,0.005,0.99,0.475,0.438,0.389,0.832,0.431,0.992,0.56,0.397,0.01,0.517,umap,reuters,21,trustworthiness
delaunay,0.279,0.744,0.644,0.568,0.486,0.996,0.002,0.996,0.492,0.432,0.368,0.835,0.432,0.992,0.528,0.384,0.004,0.509,umap,reuters,21,trustworthiness
projnn,0.247,0.741,0.648,0.558,0.421,0.995,0.002,0.995,0.49,0.435,0.372,0.774,0.312,0.978,0.211,0.327,0.005,0.511,umap,reuters,21,trustworthiness
truenn,0.351,0.839,0.69,0.727,0.516,0.985,0.008,0.985,0.462,0.254,0.479,0.859,0.326,0.992,0.354,0.275,0.015,0.536,umap,reuters,21,trustworthiness
rescaled,0.26,0.771,0.713,0.659,0.442,0.927,0.073,0.927,0.412,0.341,0.507,0.745,0.297,0.0,0.24,0.309,0.073,0.588,mds,reuters,1,trustworthiness
magnetic,0.267,0.776,0.69,0.667,0.443,0.93,0.07,0.93,0.433,0.333,0.458,0.767,0.296,0.0,0.238,0.309,0.07,0.567,mds,reuters,1,trustworthiness
magnetic_on_rescale,0.267,0.776,0.69,0.667,0.443,0.93,0.07,0.93,0.433,0.333,0.458,0.767,0.296,0.0,0.238,0.309,0.07,0.567,mds,reuters,1,trustworthiness
delaunay,0.263,0.765,0.644,0.647,0.441,0.997,0.003,0.997,0.486,0.353,0.392,0.771,0.287,0.0,0.231,0.298,0.003,0.514,mds,reuters,1,trustworthiness
projnn,0.244,0.772,0.689,0.656,0.457,0.977,0.023,0.977,0.449,0.344,0.478,0.759,0.199,0.0,0.192,0.194,0.023,0.55,mds,reuters,1,trustworthiness
truenn,0.354,0.856,0.703,0.784,0.5,0.951,0.049,0.951,0.429,0.216,0.487,0.867,0.227,0.0,0.252,0.228,0.049,0.571,mds,reuters,1,trustworthiness
rescaled,0.245,0.931,0.977,0.925,0.386,0.946,0.054,0.946,0.04,0.075,0.802,0.781,0.452,0.0,0.279,0.511,0.054,0.96,mds,usps,1,trustworthiness
magnetic,0.202,0.865,0.809,0.857,0.391,0.992,0.008,0.992,0.223,0.143,0.427,0.8,0.454,0.0,0.27,0.488,0.008,0.777,mds,usps,1,trustworthiness
magnetic_on_rescale,0.202,0.865,0.809,0.857,0.391,0.992,0.008,0.992,0.223,0.143,0.427,0.8,0.454,0.0,0.27,0.488,0.008,0.777,mds,usps,1,trustworthiness
delaunay,0.187,0.905,0.861,0.898,0.45,0.993,0.007,0.993,0.182,0.102,0.564,0.807,0.464,0.0,0.251,0.478,0.007,0.818,mds,usps,1,trustworthiness
projnn,0.162,0.94,0.968,0.934,0.57,0.961,0.039,0.961,0.053,0.065,0.78,0.816,0.547,0.0,0.158,0.519,0.039,0.947,mds,usps,1,trustworthiness
truenn,0.162,0.953,0.877,0.95,0.556,0.974,0.026,0.974,0.157,0.05,0.618,0.852,0.522,0.0,0.181,0.496,0.026,0.843,mds,usps,1,trustworthiness
rescaled,0.251,0.98,0.983,0.966,0.636,0.717,0.174,0.717,0.027,0.029,0.623,0.962,0.291,0.999,0.322,0.414,0.283,0.972,isomap,fashionmnist,21,trustworthiness
magnetic,0.256,0.857,0.777,0.788,0.39,0.967,0.018,0.967,0.255,0.208,0.303,0.967,0.228,0.998,0.291,0.288,0.033,0.746,isomap,fashionmnist,21,trustworthiness
magnetic_on_rescale,0.254,0.957,0.927,0.933,0.57,0.894,0.061,0.894,0.099,0.063,0.492,0.964,0.282,0.999,0.32,0.4,0.106,0.902,isomap,fashionmnist,21,trustworthiness
delaunay,0.149,0.973,0.948,0.96,0.521,0.832,0.096,0.832,0.067,0.035,0.53,0.923,0.541,0.995,0.131,0.539,0.168,0.93,isomap,fashionmnist,21,trustworthiness
projnn,0.146,0.974,0.973,0.96,0.538,0.773,0.136,0.773,0.036,0.035,0.591,0.922,0.528,0.995,0.137,0.525,0.227,0.959,isomap,fashionmnist,21,trustworthiness
truenn,0.211,0.983,0.937,0.973,0.587,0.827,0.1,0.827,0.084,0.023,0.544,0.944,0.528,0.998,0.162,0.565,0.173,0.916,isomap,fashionmnist,21,trustworthiness
rescaled,0.158,0.971,0.975,0.945,0.444,0.629,0.238,0.629,0.029,0.045,0.598,0.884,0.651,0.969,0.154,0.657,0.371,0.961,mds,fashionmnist,51,trustworthiness
magnetic,0.142,0.961,0.945,0.932,0.442,0.769,0.14,0.769,0.075,0.06,0.483,0.894,0.653,0.981,0.15,0.658,0.231,0.923,mds,fashionmnist,51,trustworthiness
magnetic_on_rescale,0.142,0.961,0.945,0.932,0.442,0.769,0.14,0.769,0.075,0.06,0.483,0.894,0.653,0.981,0.15,0.658,0.231,0.923,mds,fashionmnist,51,trustworthiness
delaunay,0.133,0.972,0.96,0.948,0.493,0.696,0.187,0.696,0.053,0.044,0.549,0.909,0.679,0.985,0.128,0.684,0.304,0.942,mds,fashionmnist,51,trustworthiness
projnn,0.128,0.976,0.966,0.955,0.521,0.647,0.223,0.647,0.037,0.038,0.571,0.9,0.721,0.982,0.103,0.722,0.353,0.952,mds,fashionmnist,51,trustworthiness
truenn,0.136,0.983,0.952,0.968,0.539,0.707,0.178,0.707,0.064,0.024,0.542,0.913,0.697,0.988,0.123,0.699,0.293,0.935,mds,fashionmnist,51,trustworthiness
rescaled,0.225,0.922,0.958,0.888,0.441,0.675,0.204,0.675,0.059,0.093,0.732,0.851,0.395,0.984,0.439,0.436,0.325,0.935,mds,usps,51,trustworthiness
magnetic,0.209,0.842,0.78,0.798,0.401,0.889,0.065,0.889,0.246,0.187,0.402,0.864,0.395,0.987,0.425,0.402,0.111,0.754,mds,usps,51,trustworthiness
magnetic_on_rescale,0.209,0.842,0.78,0.798,0.401,0.889,0.065,0.889,0.246,0.187,0.402,0.864,0.395,0.987,0.425,0.402,0.111,0.754,mds,usps,51,trustworthiness
delaunay,0.202,0.902,0.864,0.865,0.519,0.852,0.085,0.852,0.174,0.119,0.553,0.863,0.406,0.987,0.383,0.414,0.148,0.827,mds,usps,51,trustworthiness
projnn,0.176,0.929,0.93,0.9,0.565,0.74,0.157,0.74,0.079,0.084,0.671,0.849,0.495,0.986,0.201,0.474,0.26,0.901,mds,usps,51,trustworthiness
truenn,0.188,0.954,0.862,0.927,0.611,0.788,0.126,0.788,0.168,0.054,0.601,0.874,0.487,0.99,0.222,0.458,0.212,0.829,mds,usps,51,trustworthiness
rescaled,0.111,0.971,0.992,0.967,0.583,0.805,0.122,0.805,0.025,0.03,0.851,0.955,0.431,0.979,0.413,0.507,0.195,0.973,tsne,har,7,trustworthiness
magnetic,0.111,0.833,0.762,0.816,0.474,0.976,0.014,0.976,0.284,0.179,0.421,0.955,0.396,0.969,0.376,0.414,0.024,0.716,tsne,har,7,trustworthiness
magnetic_on_rescale,0.111,0.865,0.793,0.85,0.501,0.97,0.018,0.97,0.253,0.146,0.464,0.955,0.404,0.972,0.386,0.441,0.03,0.746,tsne,har,7,trustworthiness
delaunay,0.1,0.934,0.894,0.926,0.648,0.96,0.023,0.96,0.155,0.071,0.616,0.93,0.448,0.983,0.254,0.451,0.04,0.845,tsne,har,7,trustworthiness
projnn,0.073,0.973,0.989,0.968,0.727,0.831,0.105,0.831,0.031,0.029,0.842,0.845,0.617,0.982,0.121,0.619,0.169,0.968,tsne,har,7,trustworthiness
truenn,0.063,0.986,0.974,0.984,0.786,0.872,0.077,0.872,0.061,0.016,0.798,0.872,0.635,0.993,0.117,0.64,0.128,0.938,tsne,har,7,trustworthiness
rescaled,0.265,0.954,0.984,0.948,0.625,0.863,0.084,0.863,0.042,0.049,0.813,0.761,0.578,0.982,0.241,0.591,0.137,0.956,mds,har,7,trustworthiness
magnetic,0.215,0.876,0.901,0.866,0.588,0.978,0.012,0.978,0.155,0.13,0.554,0.782,0.581,0.974,0.231,0.593,0.022,0.845,mds,har,7,trustworthiness
magnetic_on_rescale,0.215,0.876,0.901,0.866,0.588,0.978,0.012,0.978,0.155,0.13,0.554,0.782,0.581,0.974,0.231,0.593,0.022,0.845,mds,har,7,trustworthiness
delaunay,0.192,0.928,0.928,0.921,0.694,0.971,0.016,0.971,0.129,0.075,0.651,0.79,0.59,0.981,0.213,0.602,0.029,0.871,mds,har,7,trustworthiness
projnn,0.153,0.963,0.976,0.958,0.761,0.9,0.058,0.9,0.054,0.039,0.786,0.803,0.636,0.985,0.14,0.656,0.1,0.942,mds,har,7,trustworthiness
truenn,0.108,0.983,0.977,0.98,0.792,0.873,0.076,0.873,0.058,0.019,0.814,0.82,0.7,0.995,0.126,0.714,0.127,0.941,mds,har,7,trustworthiness
rescaled,0.234,0.915,0.967,0.895,0.386,0.827,0.105,0.827,0.045,0.098,0.703,0.88,0.41,0.929,0.247,0.4,0.173,0.95,mds,mnist,7,trustworthiness
magnetic,0.237,0.899,0.861,0.878,0.382,0.928,0.042,0.928,0.165,0.116,0.493,0.891,0.416,0.942,0.242,0.406,0.072,0.835,mds,mnist,7,trustworthiness
magnetic_on_rescale,0.237,0.899,0.861,0.878,0.382,0.928,0.042,0.928,0.165,0.116,0.493,0.891,0.416,0.942,0.242,0.406,0.072,0.835,mds,mnist,7,trustworthiness
delaunay,0.253,0.914,0.919,0.896,0.429,0.913,0.05,0.913,0.105,0.098,0.575,0.903,0.431,0.961,0.2,0.417,0.087,0.893,mds,mnist,7,trustworthiness
projnn,0.229,0.921,0.957,0.904,0.416,0.858,0.084,0.858,0.057,0.091,0.662,0.893,0.44,0.958,0.169,0.419,0.142,0.939,mds,mnist,7,trustworthiness
truenn,0.269,0.955,0.809,0.945,0.412,0.948,0.029,0.948,0.22,0.052,0.411,0.913,0.481,0.978,0.184,0.469,0.052,0.778,mds,mnist,7,trustworthiness
rescaled,0.139,0.979,0.991,0.978,0.642,0.937,0.063,0.937,0.026,0.022,0.846,0.807,0.884,0.0,0.128,0.894,0.063,0.974,umap,har,1,trustworthiness
magnetic,0.11,0.9,0.915,0.894,0.597,0.992,0.008,0.992,0.13,0.106,0.578,0.825,0.883,0.0,0.119,0.88,0.008,0.87,umap,har,1,trustworthiness
magnetic_on_rescale,0.109,0.929,0.941,0.924,0.628,0.989,0.011,0.989,0.106,0.075,0.672,0.825,0.883,0.0,0.122,0.886,0.011,0.894,umap,har,1,trustworthiness
delaunay,0.093,0.97,0.974,0.969,0.678,0.981,0.019,0.981,0.062,0.031,0.752,0.825,0.852,0.0,0.087,0.854,0.019,0.938,umap,har,1,trustworthiness
projnn,0.12,0.976,0.989,0.975,0.627,0.951,0.049,0.951,0.031,0.025,0.833,0.806,0.769,0.0,0.083,0.786,0.049,0.969,umap,har,1,trustworthiness
truenn,0.087,0.985,0.975,0.984,0.689,0.971,0.029,0.971,0.058,0.016,0.785,0.824,0.847,0.0,0.07,0.86,0.029,0.942,umap,har,1,trustworthiness
rescaled,0.439,0.809,0.846,0.771,0.725,0.983,0.01,0.983,0.317,0.214,0.588,1.143,0.061,,0.465,0.104,0.017,0.667,tsne,spambase,7,trustworthiness
magnetic,0.394,0.805,0.853,0.765,0.725,0.985,0.009,0.985,0.328,0.22,0.604,0.937,0.062,0.869,0.461,0.085,0.015,0.659,tsne,spambase,7,trustworthiness
magnetic_on_rescale,0.394,0.805,0.853,0.765,0.725,0.985,0.009,0.985,0.328,0.22,0.604,0.937,0.062,0.869,0.461,0.085,0.015,0.659,tsne,spambase,7,trustworthiness
delaunay,0.379,0.787,0.811,0.745,0.726,0.993,0.004,0.993,0.441,0.242,0.613,0.88,0.061,0.865,0.447,0.07,0.007,0.56,tsne,spambase,7,trustworthiness
projnn,0.276,0.785,0.814,0.743,0.701,0.991,0.005,0.991,0.435,0.245,0.616,0.471,0.064,1.666,0.364,0.077,0.009,0.566,tsne,spambase,7,trustworthiness
truenn,0.126,0.885,0.843,0.861,0.715,0.958,0.024,0.958,0.386,0.125,0.657,0.349,0.181,1.45,0.349,0.177,0.042,0.608,tsne,spambase,7,trustworthiness
rescaled,0.172,0.842,0.854,0.803,0.634,0.875,0.089,0.875,0.317,0.161,0.657,0.415,0.208,0.946,0.364,0.26,0.125,0.661,isomap,spambase,21,trustworthiness
magnetic,0.155,0.836,0.85,0.796,0.635,0.906,0.066,0.906,0.338,0.171,0.647,0.389,0.203,0.95,0.365,0.256,0.094,0.652,isomap,spambase,21,trustworthiness
magnetic_on_rescale,0.155,0.836,0.85,0.796,0.635,0.906,0.066,0.906,0.338,0.171,0.647,0.389,0.203,0.95,0.365,0.256,0.094,0.652,isomap,spambase,21,trustworthiness
delaunay,0.154,0.837,0.847,0.796,0.637,0.931,0.04,0.931,0.353,0.168,0.645,0.36,0.182,0.983,0.35,0.229,0.069,0.645,isomap,spambase,21,trustworthiness
projnn,0.174,0.839,0.85,0.798,0.667,0.915,0.05,0.915,0.333,0.166,0.652,0.317,0.203,0.945,0.308,0.237,0.085,0.654,isomap,spambase,21,trustworthiness
truenn,0.079,0.894,0.866,0.864,0.685,0.893,0.062,0.893,0.311,0.096,0.681,0.344,0.272,15.539,0.305,0.296,0.107,0.669,isomap,spambase,21,trustworthiness
rescaled,0.212,0.938,0.98,0.926,0.525,0.805,0.119,0.805,0.034,0.069,0.819,0.845,0.433,0.952,0.417,0.496,0.195,0.964,isomap,usps,7,trustworthiness
magnetic,0.189,0.83,0.772,0.812,0.414,0.96,0.023,0.96,0.251,0.184,0.418,0.857,0.436,0.954,0.397,0.474,0.04,0.747,isomap,usps,7,trustworthiness
magnetic_on_rescale,0.189,0.831,0.772,0.812,0.413,0.959,0.024,0.959,0.252,0.183,0.419,0.857,0.436,0.955,0.397,0.475,0.041,0.747,isomap,usps,7,trustworthiness
delaunay,0.194,0.913,0.883,0.9,0.577,0.963,0.021,0.963,0.171,0.096,0.63,0.852,0.444,0.964,0.359,0.478,0.037,0.83,isomap,usps,7,trustworthiness
projnn,0.171,0.946,0.967,0.934,0.631,0.865,0.08,0.865,0.052,0.061,0.782,0.843,0.519,0.972,0.198,0.503,0.135,0.943,isomap,usps,7,trustworthiness
truenn,0.176,0.966,0.915,0.959,0.655,0.916,0.048,0.916,0.132,0.039,0.725,0.868,0.534,0.989,0.207,0.494,0.084,0.867,isomap,usps,7,trustworthiness
rescaled,0.271,0.768,0.651,0.563,0.485,0.983,0.009,0.983,0.485,0.445,0.387,0.825,0.426,0.996,0.569,0.406,0.017,0.514,umap,reuters,51,trustworthiness
magnetic,0.26,0.749,0.656,0.541,0.485,0.983,0.008,0.983,0.474,0.454,0.389,0.794,0.405,0.996,0.389,0.37,0.017,0.519,umap,reuters,51,trustworthiness
magnetic_on_rescale,0.271,0.755,0.654,0.551,0.485,0.985,0.007,0.985,0.477,0.442,0.392,0.822,0.425,0.996,0.542,0.376,0.015,0.517,umap,reuters,51,trustworthiness
delaunay,0.284,0.765,0.647,0.575,0.485,0.989,0.006,0.989,0.491,0.417,0.375,0.829,0.427,0.996,0.51,0.399,0.011,0.511,umap,reuters,51,trustworthiness
projnn,0.253,0.76,0.652,0.564,0.42,0.988,0.006,0.988,0.488,0.429,0.38,0.778,0.316,0.99,0.215,0.331,0.012,0.514,umap,reuters,51,trustworthiness
truenn,0.321,0.849,0.689,0.71,0.535,0.967,0.017,0.967,0.456,0.255,0.471,0.856,0.305,0.994,0.336,0.261,0.033,0.542,umap,reuters,51,trustworthiness
rescaled,0.222,0.924,0.952,0.913,0.551,0.855,0.086,0.855,0.068,0.074,0.702,0.775,0.467,0.97,0.24,0.498,0.145,0.912,mds,har,21,trustworthiness
magnetic,0.184,0.901,0.898,0.883,0.564,0.923,0.043,0.923,0.151,0.106,0.61,0.796,0.46,0.975,0.236,0.492,0.077,0.846,mds,har,21,trustworthiness
magnetic_on_rescale,0.184,0.901,0.898,0.883,0.564,0.923,0.043,0.923,0.151,0.106,0.61,0.796,0.46,0.975,0.236,0.492,0.077,0.846,mds,har,21,trustworthiness
delaunay,0.162,0.92,0.902,0.908,0.606,0.922,0.043,0.922,0.144,0.081,0.613,0.808,0.453,0.977,0.226,0.479,0.078,0.852,mds,har,21,trustworthiness
projnn,0.155,0.938,0.951,0.928,0.641,0.856,0.084,0.856,0.079,0.061,0.713,0.81,0.505,0.98,0.177,0.536,0.144,0.911,mds,har,21,trustworthiness
truenn,0.098,0.971,0.955,0.963,0.687,0.817,0.11,0.817,0.084,0.028,0.726,0.832,0.524,0.993,0.184,0.559,0.183,0.914,mds,har,21,trustworthiness
rescaled,0.164,0.967,0.985,0.953,0.413,0.812,0.114,0.812,0.022,0.044,0.631,0.924,0.621,0.989,0.247,0.629,0.188,0.976,mds,fashionmnist,7,trustworthiness
magnetic,0.169,0.944,0.922,0.922,0.408,0.925,0.044,0.925,0.097,0.075,0.439,0.93,0.617,0.99,0.243,0.623,0.075,0.903,mds,fashionmnist,7,trustworthiness
magnetic_on_rescale,0.169,0.944,0.922,0.923,0.41,0.925,0.044,0.925,0.097,0.075,0.44,0.93,0.617,0.99,0.243,0.624,0.075,0.904,mds,fashionmnist,7,trustworthiness
delaunay,0.148,0.97,0.959,0.958,0.473,0.9,0.057,0.9,0.057,0.04,0.523,0.926,0.709,0.991,0.144,0.709,0.1,0.942,mds,fashionmnist,7,trustworthiness
projnn,0.124,0.979,0.983,0.97,0.485,0.828,0.103,0.828,0.025,0.028,0.619,0.917,0.753,0.991,0.105,0.752,0.172,0.973,mds,fashionmnist,7,trustworthiness
truenn,0.144,0.988,0.961,0.984,0.526,0.892,0.063,0.892,0.057,0.016,0.558,0.931,0.774,0.996,0.113,0.774,0.108,0.943,mds,fashionmnist,7,trustworthiness
rescaled,0.046,0.783,0.849,0.719,0.67,0.89,0.068,0.89,0.363,0.217,0.65,0.683,0.126,0.998,0.558,0.073,0.11,0.631,mds,spambase,51,trustworthiness
magnetic,0.043,0.746,0.799,0.671,0.586,0.954,0.025,0.954,0.434,0.282,0.578,0.714,0.161,0.986,0.51,0.094,0.046,0.565,mds,spambase,51,trustworthiness
magnetic_on_rescale,0.045,0.76,0.813,0.69,0.652,0.939,0.035,0.939,0.419,0.254,0.6,0.698,0.11,0.989,0.548,0.053,0.061,0.579,mds,spambase,51,trustworthiness
delaunay,0.053,0.747,0.816,0.675,0.665,0.951,0.028,0.951,0.422,0.276,0.605,0.65,0.083,0.984,0.539,0.066,0.049,0.578,mds,spambase,51,trustworthiness
projnn,0.13,0.767,0.824,0.702,0.64,0.921,0.045,0.921,0.382,0.243,0.614,0.365,0.095,0.983,0.337,0.122,0.079,0.6,mds,spambase,51,trustworthiness
truenn,0.086,0.825,0.831,0.773,0.695,0.921,0.043,0.921,0.384,0.152,0.622,0.426,0.075,0.987,0.352,0.09,0.079,0.605,mds,spambase,51,trustworthiness
rescaled,0.215,0.982,0.984,0.961,0.633,0.583,0.275,0.583,0.025,0.032,0.618,0.948,0.479,0.999,0.243,0.509,0.417,0.973,tsne,fashionmnist,51,trustworthiness
magnetic,0.224,0.952,0.909,0.912,0.577,0.854,0.085,0.854,0.128,0.084,0.479,0.953,0.474,0.999,0.231,0.501,0.146,0.875,tsne,fashionmnist,51,trustworthiness
magnetic_on_rescale,0.222,0.966,0.938,0.934,0.605,0.802,0.118,0.802,0.09,0.061,0.524,0.952,0.475,0.999,0.237,0.504,0.198,0.911,tsne,fashionmnist,51,trustworthiness
delaunay,0.138,0.975,0.947,0.958,0.557,0.739,0.155,0.739,0.071,0.036,0.515,0.922,0.632,0.996,0.121,0.633,0.261,0.926,tsne,fashionmnist,51,trustworthiness
projnn,0.135,0.977,0.959,0.96,0.542,0.676,0.202,0.676,0.046,0.033,0.549,0.919,0.649,0.996,0.118,0.648,0.324,0.944,tsne,fashionmnist,51,trustworthiness
truenn,0.161,0.985,0.955,0.972,0.628,0.718,0.171,0.718,0.065,0.023,0.562,0.933,0.603,0.998,0.154,0.616,0.282,0.936,tsne,fashionmnist,51,trustworthiness
rescaled,0.079,0.853,0.922,0.809,0.535,0.853,0.1,0.853,0.243,0.158,0.751,0.614,0.297,0.898,0.613,0.185,0.147,0.742,tsne,spambase,21,trustworthiness
magnetic,0.095,0.733,0.85,0.665,0.535,0.928,0.053,0.928,0.342,0.312,0.662,0.575,0.313,0.97,0.565,0.129,0.072,0.628,tsne,spambase,21,trustworthiness
magnetic_on_rescale,0.071,0.741,0.795,0.677,0.535,0.935,0.05,0.935,0.406,0.295,0.587,0.576,0.304,0.934,0.565,0.159,0.065,0.582,tsne,spambase,21,trustworthiness
delaunay,0.081,0.723,0.784,0.656,0.534,0.973,0.015,0.973,0.435,0.327,0.57,0.566,0.297,0.934,0.552,0.139,0.027,0.567,tsne,spambase,21,trustworthiness
projnn,0.121,0.784,0.879,0.727,0.714,0.952,0.027,0.952,0.364,0.255,0.714,0.312,0.247,0.947,0.303,0.196,0.048,0.631,tsne,spambase,21,trustworthiness
truenn,0.073,0.859,0.88,0.82,0.721,0.939,0.034,0.939,0.356,0.145,0.714,0.377,0.315,0.982,0.293,0.239,0.061,0.635,tsne,spambase,21,trustworthiness
rescaled,0.249,0.981,0.985,0.968,0.563,0.713,0.176,0.713,0.025,0.027,0.627,0.963,0.42,0.999,0.281,0.473,0.287,0.973,umap,fashionmnist,21,trustworthiness
magnetic,0.252,0.917,0.866,0.872,0.471,0.939,0.034,0.939,0.167,0.125,0.406,0.967,0.384,0.999,0.269,0.421,0.061,0.834,umap,fashionmnist,21,trustworthiness
magnetic_on_rescale,0.252,0.958,0.915,0.933,0.524,0.899,0.057,0.899,0.11,0.063,0.464,0.965,0.413,0.999,0.275,0.464,0.101,0.89,umap,fashionmnist,21,trustworthiness
delaunay,0.125,0.976,0.948,0.961,0.527,0.838,0.091,0.838,0.07,0.035,0.536,0.92,0.701,0.996,0.103,0.704,0.162,0.925,umap,fashionmnist,21,trustworthiness
projnn,0.122,0.977,0.973,0.963,0.529,0.767,0.139,0.767,0.035,0.032,0.599,0.923,0.702,0.997,0.104,0.706,0.233,0.958,umap,fashionmnist,21,trustworthiness
truenn,0.149,0.985,0.957,0.977,0.596,0.827,0.099,0.827,0.069,0.02,0.555,0.936,0.689,0.998,0.122,0.698,0.173,0.932,umap,fashionmnist,21,trustworthiness
rescaled,0.208,0.98,0.983,0.973,0.554,0.849,0.09,0.849,0.028,0.025,0.611,0.94,0.511,0.997,0.202,0.549,0.151,0.972,isomap,fashionmnist,7,trustworthiness
magnetic,0.233,0.828,0.758,0.765,0.334,0.991,0.005,0.991,0.27,0.233,0.258,0.958,0.338,0.992,0.217,0.351,0.009,0.73,isomap,fashionmnist,7,trustworthiness
magnetic_on_rescale,0.215,0.972,0.954,0.96,0.536,0.93,0.04,0.93,0.065,0.038,0.53,0.945,0.504,0.997,0.202,0.543,0.07,0.935,isomap,fashionmnist,7,trustworthiness
delaunay,0.119,0.979,0.977,0.97,0.526,0.878,0.07,0.878,0.037,0.027,0.589,0.913,0.704,0.994,0.102,0.709,0.122,0.963,isomap,fashionmnist,7,trustworthiness
projnn,0.123,0.98,0.98,0.972,0.536,0.866,0.079,0.866,0.031,0.026,0.606,0.914,0.703,0.994,0.103,0.708,0.134,0.968,isomap,fashionmnist,7,trustworthiness
truenn,0.159,0.989,0.957,0.984,0.592,0.897,0.06,0.897,0.062,0.015,0.575,0.927,0.621,0.998,0.142,0.632,0.103,0.939,isomap,fashionmnist,7,trustworthiness
rescaled,0.208,0.931,0.959,0.91,0.349,0.775,0.134,0.775,0.06,0.078,0.741,0.862,0.37,0.988,0.432,0.385,0.225,0.937,mds,usps,21,trustworthiness
magnetic,0.2,0.861,0.791,0.835,0.351,0.923,0.044,0.923,0.235,0.155,0.421,0.872,0.366,0.99,0.419,0.358,0.077,0.764,mds,usps,21,trustworthiness
magnetic_on_rescale,0.2,0.861,0.791,0.835,0.351,0.923,0.044,0.923,0.235,0.155,0.421,0.872,0.366,0.99,0.419,0.358,0.077,0.764,mds,usps,21,trustworthiness
delaunay,0.193,0.925,0.9,0.905,0.458,0.885,0.065,0.885,0.131,0.084,0.603,0.873,0.39,0.991,0.329,0.373,0.115,0.868,mds,usps,21,trustworthiness
